Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage Difference,Rank Difference,Projected Winner Futures Difference,Away Team,Away Rank,Away Percentage,Away Futures NJ,Away-Home Futures NJ difference,Home Team,Home Rank,Home Percentage,Home Futures NJ,Home-Away Futures NJ difference,Game URL
true,1,,Kansas City Chiefs,2,,8,-550,Detroit Lions,5,NaN,1000,550,Kansas City Chiefs,0,NaN,450,-550,https://www.espn.com/nfl/game?gameId=401547353
true,1,,Atlanta Falcons,22,,9,-80000,Carolina Panthers,31,NaN,100000,80000,Atlanta Falcons,22,NaN,20000,-80000,https://www.espn.com/nfl/game?gameId=401547403
true,1,,Cleveland Browns,14,,5,2800,Cincinnati Bengals,9,NaN,2200,-2800,Cleveland Browns,11,NaN,5000,2800,https://www.espn.com/nfl/game?gameId=401547397
true,1,,Indianapolis Colts,21,,10,18000,Jacksonville Jaguars,7,NaN,2000,-18000,Indianapolis Colts,23,NaN,20000,18000,https://www.espn.com/nfl/game?gameId=401547404
true,1,,Minnesota Vikings,13,,6,-5000,Tampa Bay Buccaneers,21,NaN,15000,5000,Minnesota Vikings,15,NaN,10000,-5000,https://www.espn.com/nfl/game?gameId=401547398
true,1,,New Orleans Saints,16,,12,-34000,Tennessee Titans,26,NaN,40000,34000,New Orleans Saints,14,NaN,6000,-34000,https://www.espn.com/nfl/game?gameId=401547399
true,1,,Pittsburgh Steelers,17,,16,4500,San Francisco 49ers,2,NaN,500,-4500,Pittsburgh Steelers,12,NaN,5000,4500,https://www.espn.com/nfl/game?gameId=401547405
true,1,,Washington Commanders,27,,2,-75000,Arizona Cardinals,30,NaN,100000,75000,Washington Commanders,25,NaN,25000,-75000,https://www.espn.com/nfl/game?gameId=401547406
true,1,,Baltimore Ravens,3,,15,-9250,Houston Texans,17,NaN,10000,9250,Baltimore Ravens,3,NaN,750,-9250,https://www.espn.com/nfl/game?gameId=401547396
true,1,,Chicago Bears,26,,6,85000,Green Bay Packers,19,NaN,15000,-85000,Chicago Bears,27,NaN,100000,85000,https://www.espn.com/nfl/game?gameId=401547407
