Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage,Projected Winner's Percentage Difference,Rank Difference,Away Team,Away Percentage,Home Team,Home Percentage,Game URL
true,1,,Kansas City Chiefs,2,,,5,Baltimore Ravens,NaN,Kansas City Chiefs,NaN,https://www.espn.com/nfl/game/_/gameId/401671789/ravens-chiefs
true,1,,Philadelphia Eagles,5,,,21,Green Bay Packers,NaN,Philadelphia Eagles,NaN,https://www.espn.com/nfl/game/_/gameId/401671805/packers-eagles
true,1,,Atlanta Falcons,17,,,6,Pittsburgh Steelers,NaN,Atlanta Falcons,NaN,https://www.espn.com/nfl/game/_/gameId/401671744/steelers-falcons
true,1,,Buffalo Bills,4,,,16,Arizona Cardinals,NaN,Buffalo Bills,NaN,https://www.espn.com/nfl/game/_/gameId/401671617/cardinals-bills
true,1,,Chicago Bears,21,,,4,Tennessee Titans,NaN,Chicago Bears,NaN,https://www.espn.com/nfl/game/_/gameId/401671719/titans-bears
true,1,,Cincinnati Bengals,11,,,17,New England Patriots,NaN,Cincinnati Bengals,NaN,https://www.espn.com/nfl/game/_/gameId/401671628/patriots-bengals
true,1,,Indianapolis Colts,19,,,13,Houston Texans,NaN,Indianapolis Colts,NaN,https://www.espn.com/nfl/game/_/gameId/401671861/texans-colts
true,1,,Miami Dolphins,29,,,16,Jacksonville Jaguars,NaN,Miami Dolphins,NaN,https://www.espn.com/nfl/game/_/gameId/401671849/jaguars-dolphins
true,1,,New Orleans Saints,14,,,18,Carolina Panthers,NaN,New Orleans Saints,NaN,https://www.espn.com/nfl/game/_/gameId/401671734/panthers-saints
true,1,,New York Giants,31,,,16,Minnesota Vikings,NaN,New York Giants,NaN,https://www.espn.com/nfl/game/_/gameId/401671712/vikings-giants
true,1,,Los Angeles Chargers,16,,,11,Las Vegas Raiders,NaN,Los Angeles Chargers,NaN,https://www.espn.com/nfl/game/_/gameId/401671659/raiders-chargers
true,1,,Seattle Seahawks,18,,,12,Denver Broncos,NaN,Seattle Seahawks,NaN,https://www.espn.com/nfl/game/_/gameId/401671664/broncos-seahawks
true,1,,Cleveland Browns,22,,,14,Dallas Cowboys,NaN,Cleveland Browns,NaN,https://www.espn.com/nfl/game/_/gameId/401671761/cowboys-browns
true,1,,Tampa Bay Buccaneers,12,,,12,Washington Commanders,NaN,Tampa Bay Buccaneers,NaN,https://www.espn.com/nfl/game/_/gameId/401671770/commanders-buccaneers
true,1,,Detroit Lions,3,,,6,Los Angeles Rams,NaN,Detroit Lions,NaN,https://www.espn.com/nfl/game/_/gameId/401671792/rams-lions
true,1,,San Francisco 49ers,1,,,9,New York Jets,NaN,San Francisco 49ers,NaN,https://www.espn.com/nfl/game/_/gameId/401671696/jets-49ers
true,2,,Miami Dolphins,29,,,25,Buffalo Bills,NaN,Miami Dolphins,NaN,https://www.espn.com/nfl/game/_/gameId/401671807/bills-dolphins
false,2,Friday,Baltimore Ravens,7,71,42.2,20,Las Vegas Raiders,28.8,Baltimore Ravens,71,https://www.espn.com/nfl/game/_/gameId/401671624/raiders-ravens
false,2,Friday,Los Angeles Chargers,16,67.1,34.5,16,Los Angeles Chargers,67.1,Carolina Panthers,32.6,https://www.espn.com/nfl/game/_/gameId/401671652/chargers-panthers
false,2,Friday,Kansas City Chiefs,2,66.2,32.7,9,Cincinnati Bengals,33.5,Kansas City Chiefs,66.2,https://www.espn.com/nfl/game/_/gameId/401671670/bengals-chiefs
